Time (HH:mm:ss.fff),Time (GPS ns),UTC offset (s),Time from start of file (s),Latitude (deg),Longitude (deg),Altitude (m),Velocity north (m/s),Velocity east (m/s),Velocity down (m/s),Acceleration Xv (m/s²),Acceleration Yv (m/s²),Acceleration Zv (m/s²),Heading (deg),Pitch (deg),Roll (deg),Velocity up (m/s),Number of GNSS satellites used (),GpsAttNumObs (),GpsVelNumObs (),Total number of satellites used in position solution (gx/ix only) (),Primary GPS number of satellites tracked (),External GPS number of satellites tracked (),Secondary GPS number of satellites tracked (),GPS position mode (),GPS velocity mode (),GPS dual antenna attitude mode (),Primary GPS position mode (),External GPS position mode (),Secondary GPS position mode (),Position accuracy north (m),Position accuracy east (m),Position accuracy down (m),Heading accuracy (deg),Pitch accuracy (deg),Roll accuracy (deg),GPS satellites used in position solution (gx/ix only) (),Glonass satellites used in position solution (gx/ix only) (),Galileo satellites used in position solution (gx/ix only) (),Beidou satellites used in position solution (gx/ix only) ()
00:26:29.402,1426379207402000000,-18,0.402000000,37.4355440244612,-121.884928162495,16.3388938903809,-3.3909,-13.6782,0.0899,0.6856,-0.2295,-9.1331,256.043339792377,-0.475898744635662,1.50063376122714,-0.0899,10,,,,,,,gxInteger (24),gxInteger (24),None (0),,,,,,,0.105997192099202,0.0338045099127186,0.0343774677078494,0,0,0,0
00:26:30.402,1426379208402000000,-18,1.402000000,37.4355123764135,-121.885085855604,16.2355098724365,-3.6038,-14.1518,0.0989,0.2676,-0.4732,-9.3328,255.690741565253,-0.340680704984787,1.21982714583352,-0.0989,10,0,17,10,22,,9,gxInteger (24),gxInteger (24),None (0),Differential (4),,,0.031,0.029,0.054,0.105424234304071,0.0372422566835035,0.0378152144786343,6,4,0,0
00:26:31.401,1426379209401000000,-18,2.401000000,37.4354792022378,-121.885247160963,16.1418476104736,-3.8272,-14.2573,0.0509,-0.2491,-1.0868,-8.5939,254.784322333356,-0.516636043869463,1.72695209030381,-0.0509,10,0,19,10,24,,9,gxInteger (24),gxInteger (24),None (0),RTK Float (5),,,0.023,0.021,0.046,0.105424234304071,0.0401070456591576,0.0406800034542885,6,4,0,0
00:26:32.401,1426379210401000000,-18,3.401000000,37.4354425964491,-121.885407083884,16.0251922607422,-4.2487,-14.1892,0.2175,0.2021,-0.427,-8.6964,253.288386826049,-0.837893479599316,1.23002579458685,-0.2175,12,0,20,12,24,,10,gxDifferential (22),gxInteger (24),None (0),RTK Integer (6),,,0.014,0.012,0.039,0.103705360918679,0.038961130068896,0.0395340878640268,8,4,0,0
00:26:33.400,1426379211400000000,-18,4.400000000,37.4354037503834,-121.885569763747,15.8557739257813,-4.3364,-14.6836,0.1658,0.7719,-0.0142,-10.1315,253.632333390466,-0.547747652145067,0.792629813783981,-0.1658,12,0,20,12,24,,14,gxDifferential (22),gxInteger (24),None (0),RTK Integer (6),,,0.011,0.009,0.036,0.101413529738156,0.0326585943224569,0.0332315521175878,8,4,0,0
00:26:34.400,1426379212400000000,-18,5.400000000,37.4353650147482,-121.885740615625,15.620677947998,-4.27,-15.5818,0.2694,0.8859,0.7313,-10.6582,254.903497554743,-0.751835218770666,-0.0972882336132138,-0.2694,10,0,19,11,23,,14,gxInteger (24),gxInteger (24),Search (1),RTK Integer (6),,,0.013,0.01,0.038,0.0996946563527633,0.0275019741662795,0.0280749319614103,8,4,0,0
00:26:35.400,1426379213400000000,-18,6.400000000,37.4353270779804,-121.885921482956,15.3721256256104,-4.2441,-16.2474,0.2277,0.1946,-0.1113,-10.2807,255.368395509713,-0.727656399816145,0.913294725438532,-0.2277,10,4,20,10,24,,14,gxInteger (24),gxInteger (24),None (0),RTK Integer (6),,,0.011,0.009,0.037,0.0991216985576324,0.0297938053468028,0.0303667631419336,6,4,0,0
00:26:36.400,1426379214400000000,-18,7.400000000,37.4352887428941,-121.886105692276,15.1380949020386,-4.2451,-16.3948,0.1614,0.2654,0.0624,-8.9915,255.530943636191,-0.947958672043947,0.875307623621359,-0.1614,10,4,20,10,24,,14,gxInteger (24),gxInteger (24),None (0),RTK Integer (6),,,0.012,0.009,0.04,0.0985487407625016,0.0332315521175878,0.0338045099127186,6,4,0,0
00:26:37.400,1426379215400000000,-18,8.400000000,37.4352508691409,-121.886292272794,14.8401947021484,-4.1364,-16.671,0.2792,-0.0232,-0.0001,-9.1219,256.048668299871,-1.13795147690933,0.850269367974142,-0.2792,10,4,20,10,25,,15,gxInteger (24),gxInteger (24),None (0),RTK Integer (6),,,0.029,0.027,0.048,0.0985487407625016,0.0372422566835035,0.0378152144786343,6,4,0,0
00:26:38.400,1426379216400000000,-18,9.400000000,37.4352129620562,-121.886482142298,14.5872449874878,-4.2919,-17.0274,0.139,0.3007,-0.5914,-10.1086,255.68988212856,-0.617075545355897,1.51197832557073,-0.139,10,4,20,10,25,,15,gxInteger (24),gxInteger (24),RTK Integer (6),RTK Integer (6),,,0.021,0.02,0.04,0.0991216985576324,0.0401070456591576,0.0406800034542885,6,4,0,0
